Firm,Date,Complaints per 1000,Closed,Upheld%,Closed 8 weeks+%,FOS new cases#,FOS Upheld%,FOS cases per 1m
BANCO SANTANDER SA,2019 - H1,4.332434995,112092,0.379830853,0.00229276,2549,0.411031777,98.5206509
BANCO SANTANDER SA,2019 - H2,4.466199757,113249,0.36978693,0.00265786,2205,0.423612198,86.95856445
BANCO SANTANDER SA,2020 - H1,3.050720955,76167,0.386921777,0.004017488,2040,0.385863622,81.70822992
BANCO SANTANDER SA,2020 - H2,3.108046541,77707,0.413065541,0.002998443,2726,0.408784455,109.0318102
BANCO SANTANDER SA,2021 - H1,3.039096406,74886,0.436810619,0.002417007,2984,0.423917622,121.099587
BANCO SANTANDER SA,2021 - H2,2.920747281,70353,0.416921709,0.002999161,2131,0.41938951,88.4697519
BANCO SANTANDER SA,2022 - H1,3.088413005,74903,0.416352892,0.008170567,2231,0.386005062,91.98896459
BANCO SANTANDER SA,2022 - H2,3.269304498,79474,0.461638569,0.003560913,2781,0.425067018,114.4013867
BANCO SANTANDER SA,2023 - H1,2.943145396,72977,0.466845719,0.006207435,3495,0.403263852,140.9525352
BANCO SANTANDER SA,2023 - H2,2.713753253,65872,0.489606438,0.008288803,3108,0.351623772,128.0414305
BANCO SANTANDER SA,2024 - H1,2.52,60610,0.4893,0.014997525,4516,0.407484978,187.7630754
BANCO SANTANDER SA,2024 - H2,2.46,59737,0.4806,0.004653732,5183,0.341809169,213.4385724
BANCO SANTANDER SA,2025 - H1,2.34,55350,0.473,0.0151,6038,0.311994559,255.2650407
NATIONWIDE BUILDING SOCIETY,2018 - H1,1.996762408,69809,0.621495796,0.011746336,1879,0.218701437,53.74545639
NATIONWIDE BUILDING SOCIETY,2018 - H2,2.16877669,75021,0.60742992,0.007651191,1857,0.256397415,53.68387935
NATIONWIDE BUILDING SOCIETY,2019 - H1,2.008590708,71372,0.573264025,0.018424592,1804,0.266873614,50.76917611
NATIONWIDE BUILDING SOCIETY,2019 - H2,1.929924078,64316,0.564120903,0.03303999,1549,0.307563762,46.48069527
NATIONWIDE BUILDING SOCIETY,2020 - H1,2.125510942,77117,0.561269616,0.098681225,1676,0.310711636,46.19417689
NATIONWIDE BUILDING SOCIETY,2020 - H2,2.021998413,72921,0.556491244,0.068759342,2380,0.345506913,65.99410625
NATIONWIDE BUILDING SOCIETY,2021 - H1,1.976589252,71611,0.590216587,0.013405762,2356,0.382534361,65.02973396
NATIONWIDE BUILDING SOCIETY,2021 - H2,1.997034995,72033,0.607416434,0.100440076,1781,0.429754269,49.37624876
NATIONWIDE BUILDING SOCIETY,2022 - H1,2.137412526,75015,0.631398828,0.110071319,1752,0.33763588,49.9199726
NATIONWIDE BUILDING SOCIETY,2022 - H2,1.97481516,71284,0.592150575,0.179745806,2312,0.316192657,64.05045522
NATIONWIDE BUILDING SOCIETY,2023 - H1,2.212601512,91762,0.642542665,0.230204224,2729,0.344711292,65.80272365
NATIONWIDE BUILDING SOCIETY,2023 - H2,2.024820922,79416,0.568290269,0.010690541,2240,0.301853477,57.11190271
NATIONWIDE BUILDING SOCIETY,2024 - H1,2.273789585,87149,0.596708637,0.012897451,2203,0.317811695,57.47809448
NATIONWIDE BUILDING SOCIETY,2024 - H2,2.331263826,90805,0.602745245,0.067727548,2370,0.291557332,60.8457163
NATIONWIDE BUILDING SOCIETY,2025 - H1,1.92,60313,0.5116,0.005,1601,0.251962884,50.96612671
MONZO BANK LIMITED,2018 - H1,0,0,0,0,0,0,0
MONZO BANK LIMITED,2018 - H2,1.03,941,0.462274176,0.073326249,0,0,0
MONZO BANK LIMITED,2019 - H1,1.84,2924,0.508891929,0.033173735,140,0.29,88.09849521
MONZO BANK LIMITED,2019 - H2,4.02,10910,0.520256645,0.001558203,365,0.208333333,134.4912924
MONZO BANK LIMITED,2020 - H1,5.75,24437,0.45,0.000982117,553,0.382198953,130.1203094
MONZO BANK LIMITED,2020 - H2,4.98,23556,0.383,0.001018849,839,0.389002037,177.3739175
MONZO BANK LIMITED,2021 - H1,5.16,27562,0.365612075,0.003047674,823,0.406113537,154.0773529
MONZO BANK LIMITED,2021 - H2,6.33,34860,0.359,0.036001147,642,0.437969925,116.5765921
MONZO BANK LIMITED,2022 - H1,5.53,36947,0.2897,0.004303462,838,0.292119565,125.4266923
MONZO BANK LIMITED,2022 - H2,3.61,27273,0.2112,0.056502768,816,0.279182879,108.0101199
MONZO BANK LIMITED,2023 - H1,2.8,23286,0.325560423,0.057717083,1110,0.377337734,133.470755
MONZO BANK LIMITED,2023 - H2,2.82,24070,0.4022,0.169380972,1971,0.337289812,230.9189863
